id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
83,гЕЛЕКЭМЁ ОХРЮММЪ.    ╧ 109, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю,п╡ьеммъ опхимърн
84,"гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 110, 111", гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
85,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 112, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
86,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 113., гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
87,гЕЛЕКЭМЁ ОХРЮММЪ.    ╧ 114, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
88,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 115, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
89,гЕЛЕКЭМЁ ОХРЮММЪ.    ╧ 116, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
90,гЕЛЕКЭМЁ ОХРЮММЪ.    ╧ 117, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
91,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 118, српхлюбяъ, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
92,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 119, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
93,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 120-125, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
94,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 126, српхлюбяъ, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
95,гЕЛЕКЭМЁ ОХРЮММЪ.   оНБЕПМЕММЪ ДН ОПНЕЙРС ╧ 126, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, гю,п╡ьеммъ опхимърн
96,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 126, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
97,гЕЛЕКЭМЁ ОХРЮММЪ.    пНАНРЮ АЕГ ОЕПЕПБХ , гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
98,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 127, српхлюбяъ, гю, гю, српхлюбяъ,б╡дясрм╡и, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ,б╡дясрм╡и, гю, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
99,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 128, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
100,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 129, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
101,"гЕЛЕКЭМЁ ОХРЮММЪ.    ╧ 130, 131", гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
102,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 132, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
103,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 133, српхлюбяъ, гю, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
104,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 134, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
105,гЕЛЕКЭМЁ ОХРЮММЪ.    ╧ 135, ме цнкнясбюб, гю, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, гю,п╡ьеммъ ме опхимърн
106,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 136, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб,п╡ьеммъ опхимърн
107,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 137, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю,б╡дясрм╡и, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
108,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 138, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
109,"гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 139, 140", гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
110,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 141, српхлюбяъ, гю, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
111,гЕЛЕКЭМЁ ОХРЮММЪ.   гМЪРХ Г ПНГЦКЪДС ╧ 142, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
112,дНГБЁК МЮ БЯРЮМНБКЕММЪ ЛЕЛНПЁЮКЭМН© ДНЬЙХ, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
