id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
67,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Миколи Флерка (провулок Будьонного) Балану І.А., УТРИМАВСЯ, ПРОТИ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
68,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Зіньковецька, 34 Горбатюк В.В.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
69,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова (біля будинку № 43) Сікорі О.О., ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
70,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Юрія Громового (біля будинку № 1) Дзізінській  А.В., УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
71,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Привокзальна, 31б Малику В.А.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
72,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Тімірязєва, 33 Павленко І.Й.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка Будановій А.А.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка Попову О.А.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Панфілова, 22 та передачу її в постійне користування релігійній організації ""Релігійна громада (помісна церква) євангельських християн-баптистів ""Новий заповіт"".
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а та передачу її в оренду Попель Д.А.
", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
73,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 23 та передачу її в оренду ТзОВ “КВЗП “Кам’янець-Подільський”.", ЗА, ПРОТИ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ПРОТИ,РІШЕННЯ ПРИЙНЯТО
74,"Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Чехова, 4.
Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Хмельницьке шосе.
Про затвердження проекту землеустрою щодо зміни цільового призначення земельної ділянки за адресою вулиця Ватутіна, 28”а”.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
75,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лисенка, 6а та передачу її у власність Целушкову Р.О.", УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
76,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе, 27а та передачу її у власність Чопику П.І.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Об’їзний, 8 та передачу її у власність Делечук І.С.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
77,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 65 та передачу її у власність Кучеруку В.В.", НЕ ГОЛОСУВАВ, ПРОТИ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
78,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 65 та передачу її у власність Кучеруку В.В.", НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
79,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 65 та передачу її у власність Кучеруку В.В.", ЗА, ПРОТИ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ПРОТИ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ПРОТИ,РІШЕННЯ ПРИЙНЯТО
80,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князя Володимира (біля будинковолодіння № 20а) та передачу її у власність Покотильській Н.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний та передачу її у власність Йолтуховському Р.В.", ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
81,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 72”а” та передачу її у власність Суворову І.Ю.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
82,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Водоп’янова, 1а та передачу її у власність Сподару К.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а та передачу її у власність Чорнокозинецькій С.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а та передачу її у власність Кравчуку А.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Данила Галицького, 22 та передачу її у власність Лиськову І.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка (в дворі будинку № 82) та передачу її у власність Долиняку  О.С.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
83,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Саксаганського та передачу її у власність Колесник Ж.І.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Саксаганського та передачу її у власність Гороху Д.О.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Саксаганського та передачу її у власність Горох К.В.", ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
84,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля ліцею № 15) та передачу її у власність Віннічуку Б.А.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Єгорову Ф.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Куземі В.С.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
85,"Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельних ділянок в натурі (на місцевості) за адресою вулиця Гагаріна, 56, військове містечко № 2.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Лесі Українки, 55, військове містечко № 18.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Суворова, 15, військове містечко № 14.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Пушкінська, 13, військове містечко № 7.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
86,"Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Патріарха Мстислава, 2”а”/3 та передачу її в оренду Обслуговуючому кооперативу „Житлово-Будівельний кооператив „Затишний-2017”.", ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
87,"Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою проспект Грушевського, 1/17 та передачу її в оренду Казачук Л.С.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 8а та передачу її у власність Багрій С.Г.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Кіргізова, 18 та передачу її у власність Козак Г.М.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Князя Володимира, 18а та передачу її у власність Лахманюк Г.І., Лахманюку А.В., Згібловій О.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Південна, 13 та передачу її у власність Назаренко Л.В., Назаренку В.М.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Маршала Харченка та передачу її у власність Гарячій О.С.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка та передачу її у власність Мелимуці В.С.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка та передачу її у власність Мушку В.О.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка та передачу її у власність Кучеренку С.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка та передачу її у власність Войцеховському О.В.
Про проведення експертної грошової оцінки земельної ділянки несільськогосподарського призначення площею 0,0060 га. за адресою проспект Грушевського, 23, яка перебуває в оренді Волощука В.Р.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
88,"Про проведення експертної грошової оцінки земельної ділянки несільськогосподарського призначення за адресою проспект Грушевського, 25, яка перебуває в оренді Муляр Т.В.
Про проведення експертної грошової оцінки земельної ділянки несільськогосподарського призначення за адресою проспект Грушевського, 25, яка перебуває в оренді Крентовської Е.Ф.
Про проведення експертної грошової оцінки земельної ділянки несільськогосподарського призначення за адресою проспект Грушевського, 25, яка перебуває в оренді Стародубцевої Р.С.", НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
89,"Про продаж земельної ділянки несільськогосподарського призначення за адресою вулиця Крип’якевича, 3 Стоколосу В.С.
Про продаж земельної ділянки несільськогосподарського призначення за адресою вулиця Крип’якевича, 3 Терлецькій М.С.", ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
90,"Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою проспект Грушевського, 1/17.", ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
91,"Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою проспект Грушевського, 1/17.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
92,"Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою проспект Грушевського, 1/17.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
93,"Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Трубчак В.С. і Кузнець К.М. за адресою вулиця Розвадовського, 5.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
94,"Про припинення договору оренди землі за адресою вулиця П’ятницька, 8/10.", ЗА, ПРОТИ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ПРОТИ, ПРОТИ, ПРОТИ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ПРОТИ, УТРИМАВСЯ, ЗА, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ПРОТИ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
