id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Костинюк Володимир Володимирович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
54,"Блок питань: 61-64
61 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка (в дворі будинку № 37) та передачу її у власність Шипкевич К.М.
62 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова 2, корпус 2, гараж 9 та передачу її у власність Бурбенку А.А.
63 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова 2, корпус 2, гараж 10 та передачу її у власність Бродському П.А.
64 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 3, бокс 190 та передачу її у власність Твердохліб І.В.Блок питань: 61-64
61 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка (в дворі будинку № 37) та передачу її у власність Шипкевич К.М.
62 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова 2, корпус 2, гараж 9 та передачу її у власність Бурбенку А.А.
63 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова 2, корпус 2, гараж 10 та передачу її у власність Бродському П.А.
64 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 3, бокс 190 та передачу її у власність Твердохліб І.В.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
55,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою гаражний кооператив № 4, гараж 751 та передачу її у власність Княгницькому В.С.", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
56,"Блок питань: 66-68
66 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська (в дворі будинку № 28) та передачу її у власність Колеснік Л.С.
67 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Миколи Флерка (навпроти будинку № 9) та передачу її у власність Славіній І.В.
68 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука та передачу її у власність Білянському Ю.О.Блок питань: 66-68
66 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська (в дворі будинку № 28) та передачу її у власність Колеснік Л.С.
67 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Миколи Флерка (навпроти будинку № 9) та передачу її у власність Славіній І.В.
68 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука та передачу її у власність Білянському Ю.О.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
57,Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів та передачу її у власність Комарницькому Д.В., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
58,"Блок питань: 70-94
70 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 10, гараж 167 та передачу її у власність Грушанській Д.Ю.
71 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 10, гараж 155 та передачу її у власність Грушанській О.Ю.
72 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Бондару І.В.
73 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Рибаку С.В.
74 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Бойку Д.І.
75 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Діновському В.П.
76 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Бзинку А.В.
77 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Юр’єву О.В.
78 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Марутіну В.М.
79 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Трондюку А.В.
80 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Чорненькому І.Ю.
81 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Крип'якевича, 3 та передачу її в оренду Шафранюку І.Т.
82 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Патріарха Мстислава, 2”а” та передачу її в оренду ОК “Житлово-Будівельний кооператив “Сонячний-2017”.
83 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Соборна, 27 та передачу її в оренду Гаджук О.К.
84 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а та передачу її у власність Гнатишену Д.В.
85 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Каньйонний, 16а та передачу її у власність Радіонову О.М.
86 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Папаніна, 53а та передачу її у власність Баланюку П.М.
87 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Лисенка, 3 та передачу її у власність Цісановській Г.М.
88 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Слєпньова та передачу її у власність Голумбовському Ю.М.
89 Про проведення експертної грошової оцінки земельної ділянки несільськогосподарського призначення площею 0,0022 га. за адресою вулиця Першотравнева, 9, яка перебуває в оренді Адаменка В.П.
90 Про надання дозволу на передачу в суборенду земельної ділянки, яка перебуває в оренді Павленка С.М. за адресою вулиця Пушкінська, 18.
91 Про надання згоди на об’єднання двох земельних ділянок площею 0,1808 га. та площею 0,0823 га. за адресою проспект Грушевського, 1/17.
92 Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою вулиця Князів Коріатовичів, 25.
93 Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою проспект Грушевського, 1/17.
94 Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою вулиця Привокзальна, 31”б”.Блок питань: 70-94
70 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 10, гараж 167 та передачу її у власність Грушанській Д.Ю.
71 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 10, гараж 155 та передачу її у власність Грушанській О.Ю.
72 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Бондару І.В.
73 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Рибаку С.В.
74 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Бойку Д.І.
75 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Діновському В.П.
76 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Бзинку А.В.
77 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Юр’єву О.В.
78 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Марутіну В.М.
79 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Трондюку А.В.
80 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Чорненькому І.Ю.
81 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Крип'якевича, 3 та передачу її в оренду Шафранюку І.Т.
82 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Патріарха Мстислава, 2”а” та передачу її в оренду ОК “Житлово-Будівельний кооператив “Сонячний-2017”.
83 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Соборна, 27 та передачу її в оренду Гаджук О.К.
84 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а та передачу її у власність Гнатишену Д.В.
85 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Каньйонний, 16а та передачу її у власність Радіонову О.М.
86 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Папаніна, 53а та передачу її у власність Баланюку П.М.
87 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Лисенка, 3 та передачу її у власність Цісановській Г.М.
88 Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Слєпньова та передачу її у власність Голумбовському Ю.М.
89 Про проведення експертної грошової оцінки земельної ділянки несільськогосподарського призначення площею 0,0022 га. за адресою вулиця Першотравнева, 9, яка перебуває в оренді Адаменка В.П.
90 Про надання дозволу на передачу в суборенду земельної ділянки, яка перебуває в оренді Павленка С.М. за адресою вулиця Пушкінська, 18.
91 Про надання згоди на об’єднання двох земельних ділянок площею 0,1808 га. та площею 0,0823 га. за адресою проспект Грушевського, 1/17.
92 Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою вулиця Князів Коріатовичів, 25.
93 Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою проспект Грушевського, 1/17.
94 Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою вулиця Привокзальна, 31”б”.", НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
59,"Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою вулиця Північна, 66.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
60,"Блок питань: 96-101
96 Про припинення права користування земельною ділянкою Товариства з обмеженою відповідальністю «Майстер К» за адресою вулиця Драй-Хмари, 30”а”/1 та передачу її в оренду Матвійчуку Б.С., Матвійчуку В.Б.
97 Про припинення права користування земельною ділянкою Приватного підприємства “Медобори” Фарм за адресою вулиця Драгоманова, 1 та передачу її в оренду Приватному підприємству “АНР”.
98 Про припинення права користування земельною ділянкою Приватного підприємства “Медобори” Фарм за адресою проспект Грушевського, 21/9 та передачу її в оренду Приватному підприємству “АНР”.
99 Про припинення права користування земельною ділянкою Свідерського М.В. та Чорного А.Є. за адресою вулиця Першотравнева, 7”а”/18 та передачу її в оренду Свідерській Е.М.
100 Про припинення права користування земельною ділянкою Приватного підприємства “Медобори” Фарм за адресою проспект Грушевського, 42.
101 Про визнання таким, що втратив чинність договір оренди землі за адресою вулиця Жванецьке шосе, 61.Блок питань: 96-101
96 Про припинення права користування земельною ділянкою Товариства з обмеженою відповідальністю «Майстер К» за адресою вулиця Драй-Хмари, 30”а”/1 та передачу її в оренду Матвійчуку Б.С., Матвійчуку В.Б.
97 Про припинення права користування земельною ділянкою Приватного підприємства “Медобори” Фарм за адресою вулиця Драгоманова, 1 та передачу її в оренду Приватному підприємству “АНР”.
98 Про припинення права користування земельною ділянкою Приватного підприємства “Медобори” Фарм за адресою проспект Грушевського, 21/9 та передачу її в оренду Приватному підприємству “АНР”.
99 Про припинення права користування земельною ділянкою Свідерського М.В. та Чорного А.Є. за адресою вулиця Першотравнева, 7”а”/18 та передачу її в оренду Свідерській Е.М.
100 Про припинення права користування земельною ділянкою Приватного підприємства “Медобори” Фарм за адресою проспект Грушевського, 42.
101 Про визнання таким, що втратив чинність договір оренди землі за адресою вулиця Жванецьке шосе, 61.", НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
61,"Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Хоменко Г.І. за адресою проспект Грушевського.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
62,"Про внесення змін до договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ТзОВ “Н.С.К. СІТІ” за адресою вулиця Зарванська, 7.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
63,"Блок питань: 104-105
104 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе (за будинком № 19) Прокоф'єву А.І.
105 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе (за будинком № 19) Шевчуку Р.В.Блок питань: 104-105
104 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе (за будинком № 19) Прокоф'єву А.І.
105 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе (за будинком № 19) Шевчуку Р.В.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
64,"Блок питань: 107-111.
107 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди Кондрацькій Н.В.
108 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди Сластьоновій А.В.
109 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди, бокс № 30 Терлецькому Ю.І.
110 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди, бокс № 32 Гринчуку Д.Г.
111 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе Харук Є.М.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
65,"Про передачу в оренду земельної ділянки за адресою вулиця Голосківське шосе, 3 ТОВ “ЮРІДІКС”.
 22.  Про припинення договору оренди землі за адресою вулиця Заводська, 2..", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
66,"Про припинення договору оренди землі за адресою вулиця Пушкінська, 26а.", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
67,"Про внесення доповнень до порядку розміщення об’єктів зовнішньої реклами у м. Кам’янці-Подільському.
 27.  Про встановлення меморіальної дошки на фасаді пам’ятки архітектури національного значення будинку Польського магістрату на площі Польський ринок, 1", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
68,Про внесення змін до рішення сесії міської ради від 05.12.2017 № 14/46 «Про затвердження Програми «Санітарне утримання території міста Кам’янця-Подільського на 2018 рік»., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
69,Про внесення змін до рішення сесії міської ради від 05.12.2017 № 14/46 «Про затвердження Програми «Санітарне утримання території міста Кам’янця-Подільського на 2018 рік»., ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
70,"Про затвердження Програми «Капітальний ремонт житлових будинків з протиаварійними заходами, в т.ч. виготовлення ПКД на 2018 р.».", НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
71,"Про затвердження Програми «Капітальний ремонт житлових будинків з протиаварійними заходами, в т.ч. виготовлення ПКД на 2018 р.».", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
72,Про звернення до Верховної Ради України щодо ухвалення Антиолігархічного пакету докорінних перетворень., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
73,"Про звернення до Прем’єр-міністра України, Голови Верховної Ради України, Міністра екології та природних ресурсів України, Голови Державної служби геології та надр України", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
74,"26.  Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
