id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
74,"Блок питань: 42-48
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Ладигіна, 22 Андрусинику С.О.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка, 16 Брайчевському Д.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 54а Газдюк Г.М.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Папаніна, 38 Зінченко В.Г.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Папаніна, 38а Зінченку В.Г.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка Джаламазі В.М.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка Паладійчуку С.О.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
75,"Блок питань: 49-50
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а Крушановському О.І.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а Углянюку Д.В.", ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
76,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка, 20 та передачу її в постійне користування Міській поліклініці № 1.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
77,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Васильєва, 3 та передачу її в оренду ОСББ “Васільєва-3”.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
78,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 122 та передачу її в оренду ПрАТ Хмельницьке обласне акціонерне товариство по туризму та екскурсіях “Хмельницьктурист”.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
79,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів, 14л та передачу її в оренду Біньковському О.В.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
80,"Блок питань: 56-57
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лисенка, 31 та передачу її у власність Блонській Г.В., Голомазюк  М.І.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Богуна, 15 та передачу її у власність Байді В.А.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
81,Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна (навпроти будинку № 37) та передачу її у власність Дуранкову В.А., ЗА, ПРОТИ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, ПРОТИ, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
82,"Блок питань: 59-63
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 138 та передачу її у власність Швецю В.Г.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 195 та передачу її у власність Швець О.Д.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 158) та передачу її у власність Онуфран  Ж.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гунська, 28 та передачу її у власність Ніколюку Ю.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 9), гараж № 3 та передачу її у власність Вітвіцькому В.О.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
83,"Блок питань: 64-67
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська та передачу її у власність Шкварському К.І.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Олійнику Д.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Веретюку О.А.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна (в дворі будинку № 24) та передачу її в оренду Ільковичу А.В.", ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
84,"Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 48 та передачу її в оренду Іванюк В.О.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
85,"Блок питань: 70-71
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 48 та передачу її в оренду Гадаю А.І.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою проспект Грушевського, 23 та передачу її в оренду Сіроцінській І.П.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
86,"Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Князів Коріатовичів, 14л та передачу її в оренду Біньковському О.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Кренкеля, 2а та передачу її у власність Громик Н.І.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
87,Повернутись до 58 питання., ЗА, ПРОТИ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ПРОТИ, ВІДСУТНІЙ, ЗА, ПРОТИ, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
88,Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна (навпроти будинку № 37) та передачу її у власність Дуранкову В.А., ЗА, ПРОТИ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ПРОТИ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
89,"Блок питань: 74-79
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Котляревського, 3 та передачу її у власність Пілявському Є.А.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка та передачу її у власність Лукс О.М.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка та передачу її у власність Клевачу В.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Лермонтова, 2”б”, гараж 7 та передачу її у власність Краснопольській Т.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Хмельницьке шосе, 17а, гараж 9 та передачу її у власність Барановському С.Ф.
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ГО “Подільська мрія” за адресою вулиця Андрія Журавленка, 1.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
90,"Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Войціховською Н.В. за адресою вулиця Панівецька, 8.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
91,"Блок питань: 81-82
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Сотник Т.Й. за адресою на розі вулиць Огієнка та Симона Петлюри.
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Сотник Т.Й. за адресою на розі вулиці Героїв Небесної Сотні (стара назва - вулиця Червоноармійська) та проспекту Грушевського.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
92,"Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Сотник Т.Й. за адресою вулиця Лесі Українки, 59 (біля ЗОШ № 5).", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
93,"Про надання згоди на поділ земельної ділянки за адресою проспект Грушевського, 1/1.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
94,"Про надання згоди на поділ земельної ділянки за адресою вулиця Хмельницьке шосе, 17а.", ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
95,Про надання згоди на відновлення меж земельної ділянки користувачем Обслуговуючому кооперативу Житлово-будівельний кооператив “Паркова алея”., ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
96,Про надання згоди на відновлення меж земельної ділянки користувачем Обслуговуючому кооперативу Житлово-будівельний кооператив “Паркова алея”., ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
97,Про надання згоди на відновлення меж земельної ділянки користувачем Обслуговуючому кооперативу Житлово-будівельний кооператив “Паркова алея”., ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
98,"Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою вулиця Крип’якевича, 3", ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
99,"Про погодження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою вулиця Привокзальна, 27.", ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
100,"Про затвердження технічної документації із землеустрою щодо поділу та об’єднання земельних ділянок за адресою вулиця Ценського, 1/2.", ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
101,"Про проведення експертної грошової оцінки земельної ділянки несільськогосподарського призначення площею 0,1277 га. за адресою вулиця Крип’якевича, 3, яка перебуває в оренді Данилюка І.М., Бойка А.А.", ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
102,"Блок питань: 91-92
Про внесення змін до рішення сесії Кам’янець-Подільської міської ради від 03.04.2018 № 41/53 «Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Каліська, 24 Врубльовській К.М., Шульзі О.В., Семашу А.В., Семаш Є.С., Пустовому А.В.».
Про внесення змін до рішення п’ятдесят третьої сесії Кам’янець-Подільської міської ради від 03.04.2018 р. №  143/53 «Про продаж земельної ділянки несільськогосподарського призначення за адресою вулиця Першотравнева, 11а Котику С.С.».", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
103,Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ватутіна (біля будинку № 2) Чепелюк А.С., ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
104,повернутись до 93 питання, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
105,Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ватутіна (біля будинку № 2) Чепелюк А.С., ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
106,"Про надання дозволу на передачу в суборенду земельної ділянки, яка перебуває в оренді Бігуса К.С. за адресою вулиця Нігинське шосе, 22а.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
107,"Про надання згоди на одержання права власності та прийняття в комунальну власність територіальної громади м. Кам'янця-Подільського земельної ділянки площею 1584 кв. м. за адресою вулиця Шмідта, 19.", ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
108,Про затвердження протоколу засідання постійно діючої комісії з розгляду і вирішення земельних спорів від 04 травня 2018 року., ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
