id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Полатайко Олександр Миколайович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Яриновський Юрій Леонідович,result
74,"Блок питань: 55-62
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 8а Багрій С.Г.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нагірна, 17 Родіній М.М., Горецькій І.В., Мілевській О.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Мала, 3 Ткачук-Кулаковій З.І. 
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Котляревського, 3 Пілявському Є.А.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 54а Шмаєру П.С.
60 Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Чехова, 31 Вдовічинському А.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а Ткачу В.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою проспект Грушевського, 22, гараж 15 Бєлко С.І.Блок питань: 55-62
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 8а Багрій С.Г.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нагірна, 17 Родіній М.М., Горецькій І.В., Мілевській О.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Мала, 3 Ткачук-Кулаковій З.І. 
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Котляревського, 3 Пілявському Є.А.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 54а Шмаєру П.С.
60 Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Чехова, 31 Вдовічинському А.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а Ткачу В.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою проспект Грушевського, 22, гараж 15 Бєлко С.І.Блок питань: 55-62
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 8а Багрій С.Г.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нагірна, 17 Родіній М.М., Горецькій І.В., Мілевській О.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Мала, 3 Ткачук-Кулаковій З.І. 
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Котляревського, 3 Пілявському Є.А.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 54а Шмаєру П.С.
60 Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Чехова, 31 Вдовічинському А.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а Ткачу В.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою проспект Грушевського, 22, гараж 15 Бєлко С.І.Блок питань: 55-62
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 8а Багрій С.Г.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нагірна, 17 Родіній М.М., Горецькій І.В., Мілевській О.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Мала, 3 Ткачук-Кулаковій З.І. 
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Котляревського, 3 Пілявському Є.А.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 54а Шмаєру П.С.
60 Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Чехова, 31 Вдовічинському А.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а Ткачу В.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою проспект Грушевського, 22, гараж 15 Бєлко С.І.", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
75,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри (стара назва – вулиця Уральська), 8а та передачу її в оренду ТзОВ «Логік Ленд».", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
76,"Блок питань: 64-65
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а та передачу її в оренду Євстафієвій Ю.М.
Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Тімірязєва, 99А/3.Блок питань: 64-65
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а та передачу її в оренду Євстафієвій Ю.М.
Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Тімірязєва, 99А/3.Блок питань: 64-65
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а та передачу її в оренду Євстафієвій Ю.М.
Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Тімірязєва, 99А/3.Блок питань: 64-65
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а та передачу її в оренду Євстафієвій Ю.М.
Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Тімірязєва, 99А/3.", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
77,"Про затвердження проекту землеустрою щодо відведення земельної ділянки та зміну цільового призначення земельної ділянки за адресою проспект Грушевського, 31.", ЗА, ПРОТИ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ПРОТИ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
78,"Блок питань: 67-70
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Дачна та передачу її у власність Гудзу В.Г.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Єгорову А.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Жванецьке шосе, 58 та передачу її у власність Пакіж С.А., Люлявській Н.Є.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ватутіна, 20 та передачу її у власність Федорович В.М.Блок питань: 67-70
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Дачна та передачу її у власність Гудзу В.Г.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Єгорову А.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Жванецьке шосе, 58 та передачу її у власність Пакіж С.А., Люлявській Н.Є.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ватутіна, 20 та передачу її у власність Федорович В.М.Блок питань: 67-70
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Дачна та передачу її у власність Гудзу В.Г.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Єгорову А.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Жванецьке шосе, 58 та передачу її у власність Пакіж С.А., Люлявській Н.Є.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ватутіна, 20 та передачу її у власність Федорович В.М.Блок питань: 67-70
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Дачна та передачу її у власність Гудзу В.Г.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Єгорову А.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Жванецьке шосе, 58 та передачу її у власність Пакіж С.А., Люлявській Н.Є.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ватутіна, 20 та передачу її у власність Федорович В.М.", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
79,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лисенка, 6а та передачу її у власність Целушкову Р.О.", ЗА, ЗА, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
80,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 72”а” та передачу її у власність Суворову І.Ю.", УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
81,Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця 30 років Перемоги та передачу її у власність Лізвінській М.Ю., ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
82,"Блок питань: 74-75
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна та передачу її у власність Зозулі О.А.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна та передачу її у власність Зозулі С.Г.Блок питань: 74-75
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна та передачу її у власність Зозулі О.А.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна та передачу її у власність Зозулі С.Г.Блок питань: 74-75
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна та передачу її у власність Зозулі О.А.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна та передачу її у власність Зозулі С.Г.", ЗА, ПРОТИ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ПРОТИ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
83,"Блок питань: 76-77
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 9), гараж № 7 та передачу її у власність Політанській Н.І.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 1) та передачу її у власність Гузю Г.Є.Блок питань: 76-77
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 9), гараж № 7 та передачу її у власність Політанській Н.І.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 1) та передачу її у власність Гузю Г.Є.Блок питань: 76-77
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 9), гараж № 7 та передачу її у власність Політанській Н.І.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 1) та передачу її у власність Гузю Г.Є.", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
84,"Блок питань: 78-79
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки (в дворі будинку № 18) та передачу її у власність Майданюк Е.Є.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе (біля будинку № 53а) та передачу її у власність Фурман І.Г.Блок питань: 78-79
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки (в дворі будинку № 18) та передачу її у власність Майданюк Е.Є.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе (біля будинку № 53а) та передачу її у власність Фурман І.Г.Блок питань: 78-79
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки (в дворі будинку № 18) та передачу її у власність Майданюк Е.Є.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе (біля будинку № 53а) та передачу її у власність Фурман І.Г.", ЗА, ПРОТИ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ПРОТИ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
85,"Блок питань: 80-81
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 10, гараж 167 та передачу її у власність Грушанській Д.Ю.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 10, гараж 155 та передачу її у власність Грушанській О.Ю.Блок питань: 80-81
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 10, гараж 167 та передачу її у власність Грушанській Д.Ю.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 10, гараж 155 та передачу її у власність Грушанській О.Ю.Блок питань: 80-81
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 10, гараж 167 та передачу її у власність Грушанській Д.Ю.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 10, гараж 155 та передачу її у власність Грушанській О.Ю.", УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
