id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гордійчук Валерій Григорович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович, Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Полатайко Олександр Миколайович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,result
62,"Блок питань: 110-116
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Розвадовського (в дворі будинку № 6) Майстренку В.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського Чеботару В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка (біля будинку № 40) Стецькову В.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів Нікітіній Н.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Соборна (в дворі будинку № 25) Стецюку Є.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди, бокс 10 Кіприку В.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 11) Рудніцькій С.Л.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
63,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Драй-Хмари (в дворі будинку № 3) Батушанському А.С.,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
64,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Драй-Хмари (в дворі будинку № 3) Батушанському А.С.,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
65,Дозвіл на розроблення проекту землеустрою за адресою вулиця Драй-Хмари (в дворі будинку № 3) Батушанському А.С.,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
66,"Блок питань: 118-127
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова (біля будинку № 45) Шевцову О.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Миколи Флерка Балану І.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні (в дворі будинку № 1) Володченко Н.Ю.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні (в дворі будинку № 1) Коваль З.Р.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Драй-Хмари (в дворі будинку № 5”б”) Грубляку В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Калиновий, 34/10 Музиці В.Ю.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна, 104 Горбунову П.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Хмельницьке шосе (в дворі будинку № 4) Сторожуку П.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Романа Шухевича, 2 Горностаю С.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка (в дворі будинку № 37) Борковській Л.І.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
67,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (навпроти будинку № 3) Петасюку Д.О.,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ВІДСУТНІЙ,ЗА,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
68,"Блок питань: 129-131
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 67А Шалашовій І.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри (в дворі будинку № 30А) Бєлєвич О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри (в дворі будинку № 30А) Бєлєвичу О.В.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
69,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 63а/1 Ляшковському В.О.",ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
70,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 63а/1 Ляшковському В.О.",ЗА,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
71,"Блок питань: 133-134
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Черняхівського, 58а Кравцовій І.Л.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Черняхівського, 58а Кравцову О.О.",ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
72,Блок питань: 133-134,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
73,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 63а/1 Ляшковському В.О.",ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
74,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 63а/1 Ляшковському В.О.",ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
75,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руська, 56 Мартинюк Л.В.",ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
76,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Круглий, 18 Ванат І.С., Хабаз Л.К.",НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ПРОТИ,ЗА,ВІДСУТНІЙ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
77,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Круглий, 18”а” Ванату А.П.",НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ПРОТИ,ЗА,ВІДСУТНІЙ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
78,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Круглий, 18”а” Ванату А.П.",НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ВІДСУТНІЙ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
79,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Огієнка, 46а Мазій О.М.",НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ВІДСУТНІЙ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ЗА,ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
80,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Веліканова, 28 Ковальській О.В., Пілат В.В.",НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА, НЕ ГОЛОСУВАВ,ЗА,ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
81,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Веліканова, 28 Ковальській О.В., Пілат В.В.",НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ПРОТИ,ЗА,ВІДСУТНІЙ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
82,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Мічуріна, 22 Бобровському В.А.",ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
83,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Гастелло, 19 Кухтіній Т.Й.",ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
84,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Козачий, 1 Потемковській Н.В.",ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА,РІШЕННЯ ПРИЙНЯТО
85,Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка Паршенко Л.В.,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА, НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
86,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна, 78 та передачу її в постійне користування Кам'янець-Подільській єпархії Української православної церкви.",ЗА,ПРОТИ,ЗА,ЗА,ПРОТИ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ПРОТИ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
87,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та внесення змін до договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Гільовським О.В.",НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
88,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та внесення змін до договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Гільовським О.В.",ЗА,ПРОТИ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ПРОТИ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
89,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Крут, 4 та передачу її у власність Ільніцькій Л.Г.",ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА, НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА, НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
90,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 1 та передачу її у власність Семідку В.П.",ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
