id,FullAskText, Бабчинський Олександр Васильович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Костюкович Дмитро Карлович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Полатайко Олександр Миколайович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
44,"Блок питань: 69-75
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Голосківське шосе Муравйову О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гагенмейстера Геренчуку В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Уральська (в дворі будинку № 34) Головатюку В.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського Волошину С.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського Мудрому С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 11) Рудніцькій С.Л.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 11) Люзняк О.Ю.Блок питань: 69-75
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Голосківське шосе Муравйову О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гагенмейстера Геренчуку В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Уральська (в дворі будинку № 34) Головатюку В.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського Волошину С.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського Мудрому С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 11) Рудніцькій С.Л.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 11) Люзняк О.Ю.Блок питань: 69-75
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Голосківське шосе Муравйову О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гагенмейстера Геренчуку В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Уральська (в дворі будинку № 34) Головатюку В.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського Волошину С.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського Мудрому С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 11) Рудніцькій С.Л.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 11) Люзняк О.Ю.", УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
45,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка (в дворі будинку № 82) Долиняку О.С., ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
46,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Каліська, 10 Паравійчук І.Л.", УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
47,"Блок питань: 79-86
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Старопоштовий узвіз (ділянка № 1) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Успенська (ділянка № 2) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Старопоштовий узвіз (ділянка № 2) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Вірменська, 1/2 та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна, 2а (ділянка № 1) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гунська, 11 та передачу її в оренду Кам'янець-Подільському КП ""Житловик""
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 23 та передачу її в оренду Ніверському С.П., Ніверському І.С.
Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Суворова, 26Блок питань: 79-86
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Старопоштовий узвіз (ділянка № 1) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Успенська (ділянка № 2) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Старопоштовий узвіз (ділянка № 2) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Вірменська, 1/2 та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна, 2а (ділянка № 1) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гунська, 11 та передачу її в оренду Кам'янець-Подільському КП ""Житловик""
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 23 та передачу її в оренду Ніверському С.П., Ніверському І.С.
Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Суворова, 26Блок питань: 79-86
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Старопоштовий узвіз (ділянка № 1) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Успенська (ділянка № 2) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Старопоштовий узвіз (ділянка № 2) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Вірменська, 1/2 та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна, 2а (ділянка № 1) та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець»
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гунська, 11 та передачу її в оренду Кам'янець-Подільському КП ""Житловик""
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 23 та передачу її в оренду Ніверському С.П., Ніверському І.С.
Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Суворова, 26", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
48,"Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Веліканова, 2""б", УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
49,Блок питань: 88-143, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
50,"Про надання згоди на поділ земельної ділянки за адресою проспект Грушевського, 1/1", УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
51,Блок питань: 145-159, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
52,"Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Старобульварна, 4 Белінській С.Н.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
53,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Видрівка, 13 Веретюку О.А.", УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
54,Про надання згоди на відновлення меж земельної ділянки користувачем Кам'янець-Подільському міському центру зайнятості., УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
55,Про надання згоди на відновлення меж земельної ділянки користувачем Кам'янець-Подільському міському центру зайнятості., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
56,Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ватутіна (біля будинку № 2) Чепелюк А.С., УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
57,Блок питань: 18-20, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
58,"Про надання дозволу на розроблення проектів землеустрою щодо відведення земельних ділянок загальною площею 0,1817 га. за адресою вулиця Вокзальна, 21 Боршуляку О.М.", ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ПРОТИ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
59,"Про внесення змін до договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ТзОВ “РОЗБУД” за адресою вулиця Хмельницьке шосе — вулиця Руслана Коношенка (стара назва вулиця Пархоменка) — проспект Грушевського", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
60,"Про звернення до Президента України, Кабінету Міністрів України і Верховної Ради України щодо неприпустимості підвищення ціни на газ для населення", НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
61,"Про звернення до Президента України, Кабінету Міністрів України і Верховної Ради України щодо неприпустимості підвищення ціни на газ для населення", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
62,"Про звернення до Президента України, Кабінету Міністрів України і Верховної Ради України щодо неприпустимості підвищення ціни на газ для населення", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
63,Про нагородження відзнакою міської ради «Честь і шана» Бессараба М.П., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
64,Про нагородження відзнакою міської ради «Честь і шана» Бессараба М.П., ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
65,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
66,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52.", УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
67,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
68,Про вилучення майна із статутного капіталу КП «Комбінат благоустрою» та передачу його у статутний капітал КП «Управлінська компанія «Добробут»., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
69,Про внесення змін до рішення сесії міської ради від 05.12.2017 № 14/46 «Про затвердження Програми «Санітарне утримання території міста Кам’янця-Подільського на 2018 рік»., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
70,Про внесення змін до рішення сесії міської ради від 05.12.2017 № 14/46 «Про затвердження Програми «Санітарне утримання території міста Кам’янця-Подільського на 2018 рік»., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
