id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович,Сімашкевич Михайло Євстафійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
73,"Земельні питання:   № 75 «Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Понтонна, 2 Бомк Н.А.»", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
74,"Земельні питання:   № 76 «Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а Мельничук В.С.»", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
75,"Земельні питання:   № 77 «Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а Соловоду М.С.»", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
76,Земельні питання: повернення до питання  № 77, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
77,"Земельні питання:   № 78 «Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а Соловод К.Л.»", ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
78,"Земельні питання:   № 79 «Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Каліська, 3а Гаврищуку А.І.»", УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
79,"Земельні питання:   № 80 «Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Крип'якевича, 3 та передачу її в оренду Чалому О.В.»", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
80,"Земельні питання:   № 81 «Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а та передачу її в оренду ПП „Дах Центр”»", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
81,"Земельні питання:   № 82 «Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 38 (біля ЗТП № 129) та передачу її в оренду ПП  ""Віват"".»", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
82,"Земельні питання:   № 83 «Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова, 45 (біля ЗТП № 200) та передачу її в оренду ПП ""Віват Агро"".»", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
83,"Земельні питання:   № 84 «Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Привокзальна, 28.»", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
84,"Земельні питання:   № 85 «Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Жванецький, 13 та передачу її у власність Бобровій В.П.»", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
85,"Земельні питання:   № 86 «Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Видрівка, 19 та передачу її у власність Овсянніковій А.В.»", ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
86,"Земельні питання
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Павлова (біля будинку № 22) та передачу її у власність Коростильовій Г.Г.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Павлова (біля будинку № 22) та передачу її у власність Чистякову  М.А.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Павлова (біля будинку № 22) та передачу її у власність Гаврилюку  В.Г.", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
87,"Земельні питання
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна та передачу її у власність Зозулі І.С.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Папаніна та передачу її у власність Зозулі О.І.", НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
88,Земельні питання:   № 93 «Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Крайній (біля будинковолодіння № 6) та передачу її у власність Голдибану  Д.М.», ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
89,"Земельні питання  № 94 «Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 35 та передачу її у власність Івановій Л.В.»", ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
90,"Земельні питання: № 95 «Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 72”а” та передачу її у власність Суворову І.Ю.»", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
91,"Земельні питання:  № 96 «Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Маршала Харченка, 24к та передачу її в оренду Гінзеровській І.О.»", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
92,"Земельні питання:  № 97 «Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Привокзальна, 27 та передачу її в оренду ТзОВ ""ЛІДЕР"".»", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
93,"Земельні питання:  № 98 «Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Мічуріна, 24""б"" та передачу її у власність Атаманюку Г.М.»", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
94,"Земельні питання: № 99 «Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Короленка, 26а та передачу її у власність Румянцеву М.Т.»", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
95,"Земельні питання: № 100 «Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Смірнова, 11 та передачу її у власність Сухорук О.І.»", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
96,"Земельні питання:  № 101-107
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Тімірязєва, 11 та передачу її у власність Гулаю М.Є.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Івана Сірка, 1 та передачу її у власність Святецькому Р.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Хмельницьке шосе, 17а, гараж № 17 та передачу її у власність Іщуку С.М.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Хмельницьке шосе, 17а, гараж № 18 та передачу її у власність Люблінській А.С.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Вокзальна, 69а та передачу її у власність Черногубу О.І.
Про передачу в оренду земельної ділянки за адресою вулиця Дружби народів, 4/4 Голубіцькій О.І.
Про припинення права користування земельною ділянкою Шумової Л.П. за адресою вулиця Суворова, 17 та передачу її в оренду Лісовському  В.А.", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
97,"Земельні питання:  № 108 «Про припинення договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Павлюк Т.Ю. за адресою вулиця Домініканська, 2б»", УТРИМАВСЯ, ЗА, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
98,"Земельні питання: № 109 «Про припинення договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Стуканом І.В. за адресою вулиця Першотравнева, 7а/22»", УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
99,"Земельні питання
Про припинення договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ПВКП ""Механік"" за адресою вулиця Суворова, 14а.
Про припинення права користування земельною ділянкою МП ""Берізка"" за адресою вулиця Соборна, 20.
Про припинення права користування земельною ділянкою Щипанської Т.І. за адресою вулиця Північна (біля будинку № 19).", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
100,"Земельні питання: № 113 «Про припинення договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Мошаком В.Я. за адресою вулиця Госпітальна, 8»", НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
101,"Земельні питання
Про припинення договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Вінським А.В. за адресою вулиця Кіргізова, 3.
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ПП “Охоронні системи” за адресою вулиця Пушкінська, 26а.", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
102,"Земельні питання:  № 116 Про надання згоди на поділ земельної ділянки за адресою вулиця Північна, 85.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
103,"Земельні питання: № 117-128
Про надання згоди на поділ земельної ділянки за адресою вулиця Зарванська, 7.
Про надання дозволу на передачу в суборенду земельної ділянки, яка перебуває в оренді Коваля В.З. за адресою вулиця Довга, 1/2.
Про проведення експертної грошової оцінки земельної ділянки несільськогосподарського призначення за адресою вулиця Князів Коріатовичів, 21б.
Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Войкова, 11 (нова назва – провулок Каньйонний) Веремій Н.В.
Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою Північно-західна сторона перехрестя вулиць Івана Франка та Шевченка Департаменту житлово-комунального господарства Кам’янець-Подільської міської ради.
Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою Південно-західна частина перехрестя вулиць Князів Коріатовичів та Шевченка Департаменту житлово-комунального господарства Кам’янець-Подільської міської ради.
Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою Північно-західна сторона перехрестя вулиці Князів Коріатовичів та каньйону р. Смотрич Департаменту житлово-комунального господарства Кам’янець-Подільської міської ради.
Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою Північно-східна сторона перехрестя вулиць Шевченка та Князів Коріатовичів Департаменту житлово-комунального господарства Кам’янець-Подільської міської ради.
Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою квартал обмежений вулицями Князів Коріатовичів, Шевченка, ботанічним садом та каньйоном р. Смотрич Департаменту житлово-комунального господарства Кам’янець-Подільської міської ради.
Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою на південь від будинку № 6 по вул.  Пушкінський узвіз Департаменту житлово-комунального господарства Кам’янець-Подільської міської ради.
Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою на розі вулиць Пушкінської та Шевченка Департаменту житлово-комунального господарства Кам’янець-Подільської міської ради.
Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою квартал обмежений вулицями Пушкінською, Шевченка, Князів Коріатовичів та каньйоном р. Смотрич Департаменту житлово-комунального господарства Кам’янець-Подільської міської ради.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
104,"Земельні питання: № 129 «Про внесення змін до рішення 84 сесії Кам'янець-Подільської міської ради від 27.05.2015 року № 17/84 “Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Данила Галицького, 13”а” ПАТ  „Хмельницькобленерго”.", НЕ ГОЛОСУВАВ, ЗА, ПРОТИ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
105,"Земельні питання: № 130 «Про внесення змін до договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Кориткіною З.М. за адресою проспект Грушевського, 25.»", ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
106,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського (біля будівель № 15 та № 15а) та передачу її в постійне користування КП ""Комбінат благоустрою"".", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
