id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
72,гЕЛЕКЭМЁ ОХРЮММЪ., ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
73,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
74,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
75,гЕЛЕКЭМЁ ОХРЮММЪ., гю, опнрх, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
76,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
77,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
78,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
79,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
80,гЕЛЕКЭМЁ ОХРЮММЪ.,б╡дясрм╡и, гю, гю, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, опнрх, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
81,гЕЛЕКЭМЁ ОХРЮММЪ., гю, опнрх, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
82,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
83,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
84,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, опнрх, српхлюбяъ, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ ме опхимърн
85,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
86,"оПН ГЮРБЕПДФЕММЪ ОПНЕЙРС ГЕЛКЕСЯРПНЧ ЫНДН БЁДБЕДЕММЪ ГЕЛЕКЭМН© ДЁКЪМЙХ ГЮ ЮДПЕЯНЧ БСКХЖЪ кЕЯЁ сЙПЮ©МЙХ, 94/1 РЮ ОЕПЕДЮВС ©© С БКЮЯМЁЯРЭ яСУНДНКЭЯЭЙЁИ к.л. РЮ яСУНДНКЭЯЭЙЁИ ю.н.",б╡дясрм╡и, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
87,оПН ОПНДНБФЕММЪ РЕПЛЁМС ДЁ© ДНГБНКС МЮ ПНГПНАКЕММЪ ОПНЕЙРС ГЕЛКЕСЯРПНЧ ЫНДН БЁДБЕДЕММЪ ГЕЛЕКЭМН© ДЁКЪМЙХ ГЮ ЮДПЕЯНЧ БСКХЖЪ яСБНПНБЮ (АЁКЪ АСДХМЙС ╧ 1) яЙКЮДЮМЁБЯЭЙЁИ ╡.б.,б╡дясрм╡и, опнрх, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
88,оПН ГЮРБЕПДФЕММЪ ОПНЕЙРС ГЕЛКЕСЯРПНЧ ЫНДН БЁДБЕДЕММЪ ГЕЛЕКЭМН© ДЁКЪМЙХ Б НПЕМДС ГЮ ЮДПЕЯНЧ БСКХЖЪ уЛЕКЭМХЖЭЙЕ ЬНЯЕ РЮ ОЕПЕДЮВС ©© Б НПЕМДС йо └йНЛАЁМЮР АКЮЦНСЯРПНЧ■., гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю,п╡ьеммъ опхимърн
89,"оПН ГЮРБЕПДФЕММЪ ОПНЕЙРС ГЕЛКЕСЯРПНЧ ЫНДН БЁДБЕДЕММЪ ГЕЛЕКЭМН© ДЁКЪМЙХ ГЮ ЮДПЕЯНЧ БСКХЖЪ дНБЦЮ, 1/15 РЮ ОЕПЕДЮВС ©© Б НПЕМДС уЮПЙЮБЁИ р.л.", гю, гю, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
90,оПН ГБЕПМЕММЪ ДН йНЛЁРЕРС бЕПУНБМН© пЮДХ сЙПЮ©МХ Г ОХРЮМЭ ЮЦПЮПМН© ОНКЁРХЙХ РЮ ГЕЛЕКЭМХУ БЁДМНЯХМ., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
91,оПН ГБЕПМЕММЪ ДН йНЛЁРЕРС бЕПУНБМН© пЮДХ сЙПЮ©МХ Г ОХРЮМЭ ЮЦПЮПМН© ОНКЁРХЙХ РЮ ГЕЛЕКЭМХУ БЁДМНЯХМ., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю,б╡дясрм╡и, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю,п╡ьеммъ опхимърн
92,оПН ГБЕПМЕММЪ ДН йНЛЁРЕРС бЕПУНБМН© пЮДХ сЙПЮ©МХ Г ОХРЮМЭ ЮЦПЮПМН© ОНКЁРХЙХ РЮ ГЕЛЕКЭМХУ БЁДМНЯХМ., гю, српхлюбяъ, гю, гю, гю, гю,б╡дясрм╡и, ме цнкнясбюб, ме цнкнясбюб, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
93,оПН ГБЕПМЕММЪ ДН йНЛЁРЕРС бЕПУНБМН© пЮДХ сЙПЮ©МХ Г ОХРЮМЭ ЮЦПЮПМН© ОНКЁРХЙХ РЮ ГЕЛЕКЭМХУ БЁДМНЯХМ., гю, гю, гю, гю, гю, гю,б╡дясрм╡и, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
