id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Пливанюк Юрій Васильович, Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович, Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович, Цвігун Борис Ярославович,Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
70,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна (в дворі будинку № 106) Заболотному П.Ф.
",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
71,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Мічуріна (біля будинку № 24б) Атаманюку  Г.М.
",ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ПРОТИ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
72,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів Лопушанському В.В.
",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ПРОТИ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
73,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів Лопушанському В.В.
",ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ЗА,ПРОТИ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
74,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Мічуріна (біля будинку № 24б) Атаманюку  Г.М.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ПРОТИ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ ПРИЙНЯТО
75,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Мічуріна (біля будинку № 24б) Атаманюку  Г.М.",ЗА,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,ПРОТИ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
76,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Вокзальна, 9 Баранцову О.І.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
77,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів Лопушанському В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Мічуріна (біля будинку № 24б) Атаманюку  Г.М.",ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,ПРОТИ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
78,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Суворова Богданову  М.В.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
79,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 11) Люзняк О.Ю.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
80,"Земельні питання 
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Лесі Українки, 122 ПрАТ Хмельницьке обласне акціонерне товариство по туризму та екскурсіях “Хмельницьктурист”.",ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
81,"Земельні питання 
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Ценського, 1/2”б” Стецюку М.Д.",ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
82,"Земельні питання 
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка Откідич Н.С.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
83,"Земельні питання 
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Князя Володимира, 18 Чорному В.П.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Черняхівського, 52 Кузик М.І., Квітінській Л.М., Боднарчук Л.М., Маринюку В.С.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Сергія Бондарчука, 7 Мельнику В.М.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Прорізний, 20 Вінській К.П.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Павлова, 14 Дем’яновій А.А., Дем’яновій К.І.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Романа Шухевича, 3 Волощук С.А., Дробній В.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Івана Сірка, 43 Сидорчук О.О., Вишніцькій В.С.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Панфілова, 30 Михальчишиній В.П.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Папаніна, 33а Горячку В.І.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Тімірязєва, 132 Аманатовій В.А.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Маршала Харченка Поліщук Г.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Симона Петлюри, 30а/6 Онятицькому І.П.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Симона Петлюри, 30а/6 Онятицькому І.П.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Круглий, 18 Ванат І.С., Хабаз Л.К.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Круглий, 18”а” Ванату А.П.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
84,"Земельні питання 
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Огієнка, 46а Мазій О.М.",НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ ПРИЙНЯТО
85,"Земельні питання 
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Хмельницьке шосе, 17а, гараж 12 Дурицькому Б.Й.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Хмельницьке шосе, 17а, гараж 35 Кучерику П.П.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
86,"Земельні питання 
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Замкова, 4 та передачу її в постійне користування Національному історико-архітектурному заповіднику «Кам’янець».
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 29 та передачу її в оренду Бевз А.О.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Суворова, 17 та передачу її в оренду Лісовському В.А.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
87,"Земельні питання 
Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Крип’якевича, 2”а”.",ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
88,"Земельні питання 
Про затвердження проекту землеустрою щодо зміни цільового призначення приватної земельної ділянки за адресою вулиця Князів Коріатовичів, 56”в”.",НЕ ГОЛОСУВАВ,ЗА,ЗА,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
89,"Земельні питання 
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Бусигіна, 16 та передачу її у власність Барабановій Н.Б.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Павла Стрельчука, 19 та передачу її у власність Боднарчуку В.І.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 85 та передачу її у власність Сопілко М.М., Красновій  Т.Й.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
90,"Земельні питання 
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова, 2, корпус 6, гараж 8 та передачу її у власність Бурбенко  Т.Д.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князя Володимира (в дворі будинку № 2) та передачу її у власність Голованчук М.Б.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князя Володимира (в дворі будинку № 2) та передачу її у власність Криворчуку І.П.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
91,"Земельні питання 
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князя Володимира (в дворі будинку № 2) та передачу її у власність Старченко С.В.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
92,"Земельні питання 
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (навпроти будинку № 3) та передачу її у власність Савінському В.Ю.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів, 4 та передачу її у власність Хитрук Т.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів, 4 та передачу її у власність Квашак Л.І.",ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
93,"Земельні питання 
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Привокзальна, 31”б” та передачу її в оренду Пазіну В.В.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
94,"Земельні питання 
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Крип’якевича, 48 та передачу її у власність Бучинській Л.Г., Дроздовій Н.Г.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Гумениська, 22 та передачу її у власність Кравецькій В.В., Рарицькій А.С., Качану  В.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 25 та передачу її у власність Цішковській Є.Б., Шургіній Н.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Злагоди, 37 та передачу її у власність Добровольському С.Й.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Богуна, 38 та передачу її у власність Топольницькому Р.М.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Симона Петлюри, 30”а”/7 та передачу її у власність Бєлєвич О.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Ватутіна (біля будинку № 2) та передачу її у власність Чепелюк А.С.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
95,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Молодіжна, 25 Кам’янець-Подільській міській раді.",ЗА,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
96,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Молодіжна, 25 Кам’янець-Подільській міській раді.",ЗА,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
97,"Земельні питання 
Про надання згоди на відновлення меж земельної ділянки користувачем Публічному акціонерному товариству по газопостачанню та газифікації “Хмельницькгаз”.",ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ ПРИЙНЯТО
